一,5611001,"影眞三開 入於悉"
丁,5611004,"知耕二開 平中莖"
丂,5611009,"溪豪一開 上苦浩"
七,5611012,"清眞三開 入親吉"
丄,5611016,"常陽三開 上時掌"
丅,5611020,"匣麻二開 上胡雅"
万,5611023,"明元三合 去無販"
丈,5611026,"澄陽三開 上直兩"
三,5611031,"心談一開 平蘇甘"
上,5611034,"常陽三開 上時掌"
下,5611038,"匣麻二開 上胡雅"
不,5611042,"幫尤三開 平甫鳩"
与,5611045,"以魚三開 上余吕"
丏,5611049,"明先四開 上彌殄"
丐,5611052,"見泰一開 去古太"
丑,5611055,"徹尤三開 上敕久"
丗,5611059,"書祭三開 去舒制"
且,5611062,"精魚三開 平子魚"
丕,5611066,"滂脂三開 平敷悲-重鈕"
世,5611069,"書祭三開 去舒制"
丘,5611072,"溪尤三開 平去鳩"
𠀒,5611079,"匣模一開 平戸吳"
𠀔,5611082,"見文三合 入九勿"
丞,5611086,"常蒸三開 平署陵"
丟,5611089,"端幽三開 平"
丠,5611092,"溪尤三開 平去鳩"
㐁,5611096,"透覃一開 去他紺"
𠀘,5611099,"透先四開 平他前"
丣,5611103,"以尤三開 上與久"
丽,5611106,"來齊四開 去郎計"
並,5611109,"並青四開 上蒲迥"
𠁁,5611114,"定侯一開 上徒口"
丨,5611117,"見魂一合 上古本"
丩,5611120,"見尤三開 平居求"
个,5611124,"見歌一開 去古賀"
丫,5611127,"影麻二開 平於加"
中,5611130,"知東三開 平陟弓"
丮,5611134,"見庚三開 入几劇"
丯,5611137,"見皆二開 去古拜"
丰,5611141,"滂鍾三開 平敷容"
丱,5611144,"見刪二合 去古患"
𠁥,5611147,"見佳二合 上乖買"
串,5611150,"見刪二合 去古患"
丳,5611154,"初山二開 上初限"
𠁭,5611157,"群支三開 平巨支"
丵,5611160,"崇江二開 入士角"
丶,5611164,"知虞三合 上知庾"
丸,5611167,"匣桓一合 平胡官"
丹,5611170,"端寒一開 平都寒"
主,5611174,"章虞三合 上之庾"
丼,5611177,"端覃一開 上都感"
𠂄,5611180,"曉桓一合 平呼官"
丿,5611183,"以祭三開 去餘制"
乀,5611187,"滂文三合 入敷勿"
乂,5611190,"疑廢三開 去魚肺"
乃,5611193,"泥咍一開 上奴亥"
𠂆,5611197,"以祭三開 去餘制"
久,5611200,"見尤三開 上舉有"
之,5611203,"章之三開 平止而"
尹,5611207,"以諄三合 上余準"
乍,5611210,"崇麻二開 去鋤駕"
乎,5611213,"匣模一開 平戸吳"
乏,5611217,"並凡三合 入房法"
𠂔,5611220,"莊之三開 上阻史"
𠂕,5611223,"書脂三開 上式視-重鈕"
乑,5611226,"疑侵三開 平魚金-重鈕"
㐆,5611229,"影微三開 平於希"
𠂢,5611232,"滂佳二開 去匹卦"
𠂤,5611235,"端灰一合 平都回"
乖,5611238,"見皆二合 平古懷"
乗,5611241,"船蒸三開 平食陵"
𠂷,5611244,"匣耕二開 上胡耿"
𠂹,5611247,"常支三合 平是爲"
𠂼,5611250,"定添四開 上徒玷"
乙,5611253,"影眞三開 入於筆-重鈕"
乚,5611256,"影欣三開 上於謹"
乜,5611259,"明麻三開 上彌也"
九,5611262,"見尤三開 上舉有"
乞,5611265,"溪欣三開 入去迄"
也,5611268,"以麻三開 上羊者"
𠃚,5611271,"見幽三開 平居虯"
乳,5611274,"日虞三合 上而主"
𠃸,5611277,"影之三開 去於記"
乾,5611280,"見寒一開 平古寒"
亂,5611283,"來桓一合 去郎段"
亄,5611286,"影脂三開 去乙兾-重鈕"
𠄅,5611289,"疑嚴三開 入魚怯"
𠄈,5611292,"來眞三開 去良刃"
亅,5611295,"群元三合 入其月"
𠄌,5611298,"見元三合 入居月"
了,5611301,"來蕭四開 上盧鳥"
𠄏,5611304,"端蕭四開 上都了"
予,5611307,"以魚三開 平以諸"
𠄔,5611310,"匣蕭四開 上胡了"
事,5611316,"莊之三開 去側吏"
二,5611319,"日脂三開 去而至"
亍,5611322,"知虞三合 去中句"
于,5611325,"云虞三合 平羽俱"
云,5611328,"云文三合 平王分"
互,5611331,"匣模一開 去胡誤"
五,5611334,"疑模一開 上疑古"
井,5611337,"精清三開 上子郢"
亖,5611340,"心脂三開 去息利"
亙,5611343,"見登一開 去古鄧"
些,5611346,"心麻三開 平寫邪"
亞,5611349,"影麻二開 去衣嫁"
亟,5611352,"溪之三開 去去吏"
亡,5611355,"明陽三合 平武方"
亢,5611358,"見唐一開 平古郎"
交,5611361,"見肴二開 平古肴"
亥,5611364,"匣咍一開 上胡改"
亦,5611367,"以清三開 入羊益"
亨,5611370,"曉庚二開 平許庚"
京,5611373,"見庚三開 平舉卿"
㐭,5611376,"來侵三開 上力稔"
亭,5611379,"定青四開 平特丁"
亮,5611382,"來陽三開 去力讓"
亯,5611385,"曉陽三開 上許兩"
亳,5611388,"並唐一合 入傍各"
𠅞,5611391,"船蒸三開 平食陵"
𠅬,5611394,"幫豪一開 平博毛"
亶,5611397,"端寒一開 上多旱"
𠆎,5611400,"云微三合 平雨非"
亹,5611403,"明魂一合 平莫奔"
人,5611406,"日眞三開 平如鄰"
亼,5611409,"從侵三開 入秦入"
什,5611412,"常侵三開 入是執"
仁,5611415,"日眞三開 平如鄰"
仂,5611418,"來蒸三開 入林直"
仃,5611421,"端青四開 平當經"
仄,5611424,"莊蒸三開 入阻力"
仆,5611427,"滂虞三合 去芳遇"
仇,5611430,"群尤三開 平巨鳩"
仉,5611433,"章陽三開 上諸兩"
今,5611436,"見侵三開 平居吟-重鈕"
介,5611439,"見皆二開 去古拜"
仍,5611442,"日蒸三開 平如乗"
从,5611445,"從鍾三開 平疾容"
仔,5611448,"精之三開 平子之"
仕,5611451,"崇之三開 上鉏里"
他,5611454,"透歌一開 平託何"
仗,5611457,"澄陽三開 上直兩"
付,5611460,"幫虞三合 去方遇"
仙,5611463,"心仙三開 平相然"
仛,5611466,"定唐一開 入徒落"
仜,5611469,"匣東一開 平戸公"
仝,5611472,"定東一開 平徒紅"
仞,5611475,"日眞三開 去而振"
仟,5611478,"清先四開 平蒼先"
仠,5611481,"見寒一開 上古旱"
仡,5611484,"曉欣三開 入許迄"
仢,5611487,"常陽三開 入市若"
代,5611490,"定咍一開 去徒耐"
令,5611493,"來仙三開 平力延"
以,5611496,"以之三開 上羊己"
㐱,5611499,"章眞三開 上章忍"
㐲,5611502,"定泰一開 去徒蓋"
𠆩,5611505,"並凡三合 平符咸"
仯,5611508,"初肴二開 去初敎"
仰,5611512,"疑陽三開 上魚兩"
仲,5611515,"澄東三開 去直衆"
仳,5611518,"並脂三開 平房脂"
仵,5611521,"疑模一開 上疑古"
件,5611524,"群仙三開 上其輦-重鈕"
价,5611527,"見皆二開 去古拜"
仸,5611531,"影宵三開 上於兆-重鈕"
仹,5611534,"滂鍾三開 平敷容"
任,5611537,"日侵三開 平如林"
份,5611540,"幫眞三開 平府巾-重鈕"
仿,5611543,"滂陽三合 上妃兩"
伀,5611546,"章鍾三開 平職容"
企,5611549,"溪支三開 上丘弭-重鈕"
伂,5611552,"幫泰一開 去愽蓋"
伃,5611555,"以魚三開 平以諸"
伄,5611558,"端蕭四開 去多嘯"
伆,5611561,"明文三合 上武粉"
伈,5611564,"心侵三開 上斯甚"
伉,5611567,"溪唐一開 去苦浪"
伊,5611570,"影脂三開 平於脂"
伋,5611573,"見侵三開 入居立-重鈕"
伍,5611576,"疑模一開 上疑古"
伎,5611579,"群支三開 平巨支"
伏,5611582,"並尤三開 去扶富"
伐,5611585,"並元三合 入房越"
休,5611588,"曉尤三開 平許尤"
㐸,5611591,"溪嚴三開 去去劔"
𠆴,5611594,"娘肴二開 去奴敎"
𠆺,5611600,"匣先四合 平胡涓"
伭,5611603,"匣先四開 平胡田"
伯,5611606,"幫庚二開 入博陌"
估,5611609,"見模一開 上公戸"
伱,5611612,"娘之三開 上乃里"
伴,5611615,"並桓一合 上蒲旱"
伶,5611618,"來青四開 平郎丁"
伷,5611621,"澄尤三開 去直祐"
伸,5611624,"書眞三開 平失人"
伹,5611627,"清魚三開 平七余"
伺,5611630,"心之三開 平息兹"
伻,5611633,"滂耕二開 平普耕"
似,5611636,"邪之三開 上詳里"
伽,5611639,"群戈三開 平求迦"
伾,5611643,"滂脂三開 平敷悲-重鈕"
伿,5611647,"章支三開 去支義"
佀,5611650,"邪之三開 上詳里"
佁,5611653,"以之三開 上羊己"
佂,5611656,"章清三開 平諸盈"
佃,5611660,"定先四開 平徒年"
佅,5611663,"明夬二開 去莫話"
但,5611666,"定寒一開 平徒干"
佇,5611669,"澄魚三開 上直吕"
佈,5611673,"幫模一開 去愽故"
佉,5611676,"溪戈三開 平丘伽"
佊,5611679,"幫支三開 上甫委-重鈕"
佋,5611682,"常宵三開 平市昭"
佌,5611685,"清支三開 上雌氏"
位,5611688,"云脂三合 去于愧-重鈕"
住,5611694,"澄虞三合 去持遇"
佐,5611697,"精歌一開 去則箇"
佑,5611700,"云尤三開 去于救"
佒,5611703,"影唐一開 平烏郎"
体,5611706,"並魂一合 上蒲本"
佔,5611709,"端添四開 平丁兼"
何,5611712,"匣歌一開 平胡歌"
佖,5611715,"並眞三開 入毗必"
佗,5611718,"定歌一開 平徒河"
余,5611721,"以魚三開 平以諸"
佚,5611724,"以眞三開 入夷質"
佛,5611727,"並文三合 入符弗"
作,5611730,"精模一開 去臧祚"
佝,5611733,"曉侯一開 去呼漏"
佞,5611736,"泥青四開 去乃定"
佟,5611739,"定冬一開 平徒冬"
㑁,5611742,"知諄三合 入竹律"
㑃,5611745,"影肴二開 去於敎"
𠇗,5611748,"溪麻二合 平苦瓜"
𠇱,5611751,"明桓一合 入莫撥"
佩,5611754,"並灰一合 去蒲昧"
佪,5611757,"匣灰一合 平戸恢"
佫,5611760,"匣唐一開 入下各"
佮,5611763,"見覃一開 入古沓"
佯,5611766,"以陽三開 平與章"
佰,5611769,"明庚二開 入莫白"
佳,5611772,"見佳二開 平古膎"
佴,5611775,"日之三開 去仍吏"
併,5611778,"幫清三開 上必郢"
佶,5611781,"群眞三開 入巨乙-重鈕"
佸,5611784,"見桓一合 入古活"
佹,5611787,"見支三合 上過委-重鈕"
佺,5611790,"清仙三合 平此緣"
佻,5611793,"透蕭四開 平吐彫"
佼,5611796,"見肴二開 平古肴"
佽,5611799,"清脂三開 去七四"
佾,5611802,"以眞三開 入夷質"
使,5611805,"生之三開 上踈士"
侀,5611808,"匣青四開 平戸經"
侁,5611811,"生臻三開 平所臻"
侂,5611814,"透唐一開 入他各"
侃,5611817,"溪寒一開 上空旱"
侄,5611820,"章眞三開 入之日"
侅,5611823,"溪咍一開 平苦哀"
來,5611826,"來咍一開 平洛哀"
侈,5611829,"昌支三開 上尺氏"
侉,5611832,"影歌一開 去安賀"
侊,5611835,"見唐一合 平古黃"
例,5611838,"來祭三開 去力制"
侍,5611841,"常之三開 去時吏"
侎,5611844,"明支三開 上綿婢"
侏,5611847,"章虞三合 平章俱"
侐,5611850,"曉脂三合 去火季"
侑,5611853,"云尤三開 去于救"
侒,5611856,"影寒一開 平烏寒"
侔,5611859,"明尤三開 平莫浮"
侖,5611862,"來諄三合 平力迍"
侗,5611865,"定東一開 平徒紅"
侘,5611868,"徹麻二開 平敕加"
侙,5611871,"徹蒸三開 入恥力"
侚,5611874,"邪諄三合 去辭閏"
供,5611877,"見鍾三開 平九容"
侜,5611880,"知尤三開 平張流"
依,5611883,"影微三開 平於希"
侣,5611885,"來魚三開 上力舉"
㑉,5611888,"心東三開 入息逐"
𠈇,5611891,"心東三開 入息逐"
𠈈,5611894,"清支三開 上雌氏"
𠈋,5611897,"日東三開 平如融"
侮,5611900,"明虞三合 上文甫"
侯,5611903,"匣侯一開 平戸鉤"
侲,5611906,"章眞三開 平側鄰"
侳,5611909,"精戈三合 平子𩩆"
侵,5611912,"清侵三開 平七林"
侷,5611915,"群鍾三開 入渠玉"
侸,5611918,"端侯一開 平當侯"
侹,5611921,"透青四開 上他鼎"
侺,5611924,"常侵三開 去時鴆"
侻,5611927,"透桓一合 入他括"
便,5611930,"並仙三開 平房連"
俁,5611933,"疑虞三合 上虞矩"
係,5611936,"見齊四開 去古詣"
促,5611939,"清鍾三開 入七玉"
俄,5611942,"疑歌一開 平五何"
俅,5611945,"群尤三開 平巨鳩"
俆,5611948,"邪魚三開 平似魚"
俇,5611950,"群陽三合 上求往"
俊,5611953,"精諄三合 去子峻"
俋,5611956,"澄侵三開 入直立-重鈕"
俌,5611959,"幫虞三合 上方矩"
俍,5611962,"來唐一開 上盧黨"
俎,5611965,"莊魚三開 上側吕"
俏,5611968,"清宵三開 去七肖"
俑,5611971,"透東一開 平他紅"
俒,5611974,"匣魂一合 平戸昆"
俓,5611977,"疑先四開 平五堅"
俔,5611980,"匣先四開 上胡典"
俕,5611983,"心覃一開 去蘇紺"
俖,5611986,"滂咍一開 上普乃"
俗,5611989,"邪鍾三開 入似足"
俘,5611992,"滂虞三合 平芳無"
俙,5611995,"曉微三開 平香衣"
俚,5611998,"來之三開 上良士"
俛,5612001,"明仙三開 上亡辨-重鈕"
俜,5612004,"滂青四開 平普丁"
保,5612007,"幫豪一開 上博抱"
俞,5612010,"以虞三合 平羊朱"
俟,5612013,"群微三開 平渠希"
俠,5612016,"匣添四開 入胡頰"
信,5612019,"心眞三開 去息晉"
㑗,5612022,"書眞三開 平失人"
㑙,5612025,"端添四開 入丁愜"
㑛,5612028,"心東一開 入桑谷"
㑜,5612031,"以祭三開 去餘制"
㑞,5612034,"以蒸三開 去以證"
㑟,5612037,"幫庚二開 上布梗"
𠈱,5612040,"心歌一開 平素何"
𠈵,5612043,"明江二開 平莫江"
𠈺,5612046,"並齊四開 上傍禮"
修,5612049,"心尤三開 平息流"
俯,5612052,"幫虞三合 上方矩"
俰,5612055,"匣戈一合 去胡卧"
俱,5612058,"見虞三合 平舉朱"
俲,5612061,"匣肴二開 去胡敎"
俳,5612064,"並皆二開 平步皆"
俴,5612067,"從仙三開 上慈演"
俵,5612070,"幫宵三開 去方廟-重鈕"
俶,5612073,"昌東三開 入昌六"
俸,5612076,"幫東一開 上邊孔"
俹,5612079,"影麻二開 去衣嫁"
俺,5612082,"影鹽三開 去於驗-重鈕"
俻,5612085,"並脂三開 去平祕-重鈕"
俾,5612088,"幫支三開 上并弭-重鈕"
倀,5612091,"徹陽三開 平禇羊"
倃,5612094,"見豪一開 平古勞"
倄,5612097,"匣肴二開 平胡茅"
倅,5612100,"清灰一合 去七内"
倇,5612103,"影元三合 上於阮"
倈,5612106,"來之三開 平里之"
倉,5612109,"清唐一開 平七岡"
個,5612112,"見歌一開 去古賀"
倌,5612115,"見桓一合 平古丸"
倐,5612121,"書東三開 入式竹"
倒,5612124,"端豪一開 上都晧"
倓,5612127,"定談一開 平徒甘"
倔,5612130,"群文三合 入衢物"
倕,5612133,"常支三合 平是爲"
倖,5612136,"匣耕二開 上胡耿"
倗,5612139,"並登一開 平步崩"
倚,5612142,"影支三開 上於綺-重鈕"
倜,5612145,"透青四開 入他歷"
倝,5612148,"見寒一開 去古案"
倞,5612151,"群庚三開 去渠敬"
借,5612154,"精麻三開 去子夜"
倠,5612157,"曉脂三合 平許維"
倡,5612160,"昌陽三開 平尺良"
倢,5612163,"從鹽三開 入疾葉"
倣,5612166,"幫陽三合 上分网"
倥,5612169,"溪東一開 平苦紅"
倦,5612172,"群仙三合 去渠卷-重鈕"
倧,5612175,"精冬一開 平作冬"
倨,5612178,"見魚三開 去居御"
倩,5612181,"清先四開 去倉甸"
倪,5612184,"疑齊四開 平五稽"
倫,5612187,"來諄三合 平力迍"
倬,5612190,"知江二開 入竹角"
倭,5612193,"影支三合 平於爲-重鈕"
倯,5612196,"心鍾三開 平息恭"
倰,5612199,"來登一開 平魯登"
倱,5612202,"匣魂一合 上胡本"
倲,5612205,"端東一開 平德紅"
倳,5612208,"莊之三開 去側吏"
值,5612211,"澄之三開 去直吏"
㑥,5612214,"以支三開 去以豉"
㑦,5612217,"來齊四開 去郎計"
𠉤,5612220,"定覃一開 入徒合"
𠉦,5612223,"心東三開 入息逐"
𠉫,5612226,"見陽三合 去居況"
偁,5612229,"昌蒸三開 平處陵"
偃,5612232,"影元三開 上於幰"
偄,5612235,"日仙三合 上而兖"
偅,5612238,"章鍾三開 去之用"
偆,5612241,"昌諄三合 上尺尹"
假,5612244,"見麻二開 上古疋"
偈,5612247,"群祭三開 去其憩-重鈕"
偉,5612250,"云微三合 上于鬼"
偋,5612253,"並清三開 去防正"
偏,5612262,"滂仙三開 平芳連"
偐,5612265,"疑刪二開 去五晏"
偑,5612268,"幫東三開 平方戎"
偒,5612271,"透唐一開 上他朗"
偓,5612274,"影江二開 入於角"
偔,5612277,"疑唐一開 入五各"
偕,5612280,"見皆二開 平古諧"
偘,5612283,"溪寒一開 去苦旰"
偙,5612286,"端齊四開 去都計"
偛,5612289,"莊咸二開 入側洽"
停,5612292,"定青四開 平特丁"
偝,5612295,"並灰一合 去蒲昧"
偞,5612298,"以鹽三開 入與涉"
偟,5612301,"匣唐一合 平胡光"
偠,5612304,"影蕭四開 上烏皎"
偡,5612307,"澄咸二開 上徒減"
偤,5612310,"以尤三開 平以周"
健,5612313,"群元三開 去渠建"
偩,5612316,"並尤三開 上房久"
偪,5612319,"幫東三開 入方六"
偬,5612322,"精東一開 上作孔"
偭,5612325,"明仙三開 上彌兖"
偯,5612328,"影微三開 上於豈"
偰,5612331,"心先四開 入先結"
偲,5612334,"心之三開 平息兹"
偳,5612337,"端桓一合 平多官"
側,5612340,"莊蒸三開 入阻力"
偵,5612343,"徹清三開 平丑貞"
偶,5612346,"疑侯一開 上五口"
偷,5612349,"透侯一開 平託侯"
㑮,5612352,"匣魂一合 平戸昆"
𠊧,5612355,"並耕二開 上蒲幸"
𠊩,5612358,"崇山二開 上士限"
𠊪,5612361,"常虞三合 去常句"
𠊬,5612364,"群陽三開 入其虐"
𠊯,5612367,"心侯一開 上蘇后"
𠊰,5612370,"見麻二合 上古瓦"
𠊷,5612373,"澄脂三開 去直利-重鈕"
𠊾,5612376,"群脂三合 平渠追-重鈕"
𠋧,5612379,"溪戈三開 平丘伽"
𠋩,5612382,"幫東三開 入方六"
𠋫,5612385,"匣侯一開 去胡遘"
𠋬,5612388,"見青四合 入古闃"
傀,5612391,"見灰一合 平公回"
傂,5612394,"心支三開 平息移"
傃,5612397,"心模一開 去桑故"
傅,5612403,"幫虞三合 去方遇"
傆,5612406,"疑元三合 去魚怨"
傉,5612409,"泥冬一開 入内沃"
傋,5612412,"見江二開 上古項"
傌,5612415,"明麻二開 去莫駕"
傍,5612418,"並唐一開 平步光"
傎,5612421,"端先四開 平都年"
傏,5612424,"定唐一開 平徒郎"
傑,5612427,"群仙三開 入渠列-重鈕"
傒,5612430,"匣齊四開 平胡雞"
傓,5612433,"書仙三開 去式戰"
傔,5612436,"溪添四開 去苦念"
傕,5612439,"見江二開 入古岳"
傖,5612442,"崇庚二開 平助庚"
傗,5612445,"徹東三開 入丑六"
傘,5612448,"心寒一開 上蘇旱"
備,5612451,"並脂三開 去平祕-重鈕"
傛,5612454,"以鍾三開 平餘封"
傜,5612457,"以宵三開 平餘昭"
傝,5612460,"透覃一開 去他紺"
傞,5612463,"清歌一開 平七何"
㑳,5612466,"莊虞三合 平莊俱"
㑵,5612469,"從眞三開 入秦悉"
𠋺,5612472,"心豪一開 平蘇遭"
𠌖,5612475,"群鍾三開 平渠容"
傪,5612478,"清覃一開 平倉含"
催,5612481,"清灰一合 平倉回"
傭,5612484,"以鍾三開 平餘封"
傮,5612487,"精豪一開 平作曹"
傱,5612490,"心鍾三開 上息拱"
傲,5612493,"疑豪一開 去五到"
傳,5612496,"澄仙三合 平直攣-重鈕"
傴,5612499,"影虞三合 上於武"
債,5612502,"莊佳二開 去側賣"
傶,5612505,"精冬一開 入將毒"
傷,5612508,"書陽三開 平式羊"
傸,5612511,"初陽三開 上初丈"
傺,5612514,"徹祭三開 去丑例-重鈕"
傻,5612517,"生麻二合 上沙瓦"
傾,5612520,"溪清三合 平去營"
傿,5612523,"影元三開 去於建"
僀,5612526,"端齊四開 去都計"
僁,5612529,"心眞三開 入息七"
僂,5612532,"來侯一開 平落侯"
僄,5612535,"滂宵三開 平撫招"
僅,5612538,"群眞三開 去渠遴-重鈕"
僆,5612541,"來仙三開 上力展"
僇,5612544,"來尤三開 去力救"
僉,5612547,"清鹽三開 平七廉"
僊,5612550,"心仙三開 平相然"
僋,5612553,"透覃一開 去他紺"
㑻,5612556,"明山二開 入莫八"
㑿,5612559,"崇肴二開 上士絞"
𠌭,5612562,"生諄三合 入所律"
𠌮,5612565,"章麻三開 平正奢"
𠌰,5612568,"見咍一開 去古代"
𠌶,5612571,"云虞三合 平羽俱"
𠍀,5612574,"端東一開 平德紅"
𠍜,5612577,"澄之三開 去直吏"
僎,5612580,"精諄三合 平將倫"
像,5612583,"邪陽三開 上徐兩"
僐,5612586,"常仙三開 上常演"
僑,5612589,"群宵三開 平巨嬌-重鈕"
僒,5612592,"群眞三合 上渠殞-重鈕"
僓,5612595,"透灰一合 上吐猥"
僔,5612598,"精魂一合 上兹損"
僕,5612601,"並東一開 入蒲木"
僖,5612604,"曉之三開 平許其"
僗,5612607,"來豪一開 去郎到"
僘,5612610,"昌陽三開 上昌兩"
僙,5612613,"見唐一合 平古黃"
僚,5612616,"來蕭四開 平落蕭"
僛,5612619,"溪之三開 平去其"
僜,5612622,"徹蒸三開 平丑升"
僝,5612625,"崇山二開 平士山"
僞,5612628,"疑支三合 去危睡-重鈕"
僟,5612631,"見微三開 平居依"
僢,5612634,"昌諄三合 上尺尹"
僣,5612637,"透先四開 入他結"
僤,5612640,"常仙三開 平市連"
僥,5612643,"疑蕭四開 平五聊"
僦,5612646,"精尤三開 去即救"
僧,5612649,"心登一開 平蘇增"
僨,5612652,"幫文三合 去方問"
僩,5612655,"匣刪二開 上下赧"
僬,5612658,"從宵三開 平昨焦"
僭,5612661,"精添四開 去子念"
僮,5612664,"定東一開 平徒紅"
僯,5612667,"來眞三開 上良忍"
僰,5612670,"並登一開 入蒲北"
僴,5612673,"見山二開 上古限"
㒄,5612676,"日仙三開 上人善"
㒅,5612679,"溪齊四開 上康禮"
㒇,5612682,"明虞三合 上文甫"
㒈,5612685,"曉銜二開 去許鑑"
㒊,5612688,"生侵三開 入色立-重鈕"
㒋,5612691,"心支三開 平息移"
㒌,5612694,"群清三合 平渠營"
𠍹,5612697,"知咸二開 入竹洽"
𠎝,5612700,"溪仙三開 平去乾-重鈕"
僵,5612703,"見陽三開 平居良"
僶,5612706,"明眞三開 上武盡"
僸,5612709,"疑侵三開 上牛錦-重鈕"
價,5612712,"見麻二開 去古訝"
僻,5612715,"滂清三開 入芳辟"
僽,5612718,"崇尤三開 去鋤佑"
僾,5612721,"影微三開 上於豈"
僿,5612724,"書之三開 去式吏"
儁,5612730,"精諄三合 去子峻"
儂,5612733,"泥冬一開 平奴冬"
儃,5612736,"定寒一開 平徒干"
億,5612739,"影蒸三開 入於力"
儅,5612742,"端唐一開 平都郎"
儆,5612745,"見庚三開 上居影"
儇,5612748,"曉仙三合 平許緣"
儈,5612751,"見泰一合 去古外"
儉,5612754,"群鹽三開 上巨險-重鈕"
儊,5612757,"初魚三開 去瘡據"
儋,5612760,"端談一開 平都甘"
儌,5612763,"見蕭四開 上古了"
㒓,5612766,"透寒一開 入他達"
㒔,5612769,"定東一開 入徒谷"
𠎷,5612772,"心談一開 入私盍"
𠏀,5612775,"溪戈一合 平苦禾"
𠏃,5612778,"影戈三合 平於靴"
𠏢,5612781,"來戈一合 去魯過"
𠏤,5612784,"見陽三合 上俱往"
儐,5612787,"幫眞三開 平必鄰"
儑,5612790,"疑覃一開 去五紺"
儒,5612793,"日虞三合 平人朱"
儓,5612796,"定咍一開 平徒哀"
儔,5612799,"澄尤三開 平直由"
儕,5612802,"崇皆二開 平士皆"
儖,5612805,"來談一開 平魯甘"
儗,5612808,"疑之三開 上魚紀"
儛,5612811,"明虞三合 上文甫"
儜,5612814,"娘耕二開 平女耕"
㒚,5612817,"影魂一合 上烏本"
𠏭,5612820,"從東一開 去徂送"
𠏮,5612823,"端灰一合 去都隊"
𠐀,5612827,"以支三開 平弋支"
償,5612830,"常陽三開 平市羊"
儠,5612833,"來鹽三開 入良涉"
儡,5612836,"來灰一合 平魯回"
儢,5612839,"來魚三開 上力舉"
儥,5612842,"定東一開 入徒谷"
儦,5612845,"幫宵三開 平甫嬌-重鈕"
儩,5612847,"心支三開 去斯義"
優,5612850,"影尤三開 平於求"
㒝,5612853,"明元三合 入望發"
𠐋,5612856,"滂肴二開 平匹交"
𠐌,5612859,"幫支三開 上甫委-重鈕"
儭,5612862,"初臻三開 去初覲"
儯,5612865,"定登一開 平徒登"
儰,5612868,"云支三合 上韋委-重鈕"
儱,5612872,"來東一開 上力董"
儲,5612875,"澄魚三開 平直魚"
㒟,5612878,"泥蕭四開 上奴鳥"
㒠,5612881,"匣皆二開 去胡介"
𠐤,5612884,"見灰一合 平公回"
𠐩,5612887,"徹咸二開 上丑減"
儳,5612890,"崇咸二開 平士咸"
儴,5612893,"日陽三開 平汝陽"
儵,5612896,"書東三開 入式竹"
𠐻,5612899,"群元三開 上其偃"
𠐼,5612902,"來侵三開 去良鴆"
𠐽,5612905,"群脂三合 平渠追-重鈕"
𠐾,5612908,"溪之三開 平去其"
𠐿,5612911,"曉登一合 平呼肱"
𠑅,5612914,"知耕二開 平中莖"
𠑆,5612917,"徹凡三合 上丑犯"
儶,5612920,"匣齊四合 去胡桂"
㒥,5612923,"滂東三開 平敷空"
儷,5612926,"來齊四開 去郎計"
儸,5612929,"來歌一開 平魯何"
儹,5612932,"精桓一合 上作管"
儺,5612935,"泥歌一開 平諾何"
㒨,5612938,"心仙三開 平相然"
𠑘,5612941,"端先四開 平都年"
𠑟,5612944,"幫先四開 平布玄"
儻,5612947,"透唐一開 上他朗"
儼,5612950,"疑嚴三開 上魚掩"
儽,5612953,"來脂三合 平力追"
儾,5612956,"泥唐一開 去奴浪"
兀,5612959,"疑魂一合 入五忽"
允,5612962,"以諄三合 上余準"
元,5612965,"疑元三合 平愚袁"
兄,5612968,"曉庚三合 平許榮"
充,5612971,"昌東三開 平昌終"
兆,5612974,"澄宵三開 上治小-重鈕"
兇,5612977,"曉鍾三開 平許容"
先,5612980,"心先四開 平蘇前"
光,5612983,"見唐一合 平古黃"
兊,5612986,"定泰一合 去杜外"
克,5612989,"溪登一開 入苦得"
免,5612992,"明仙三開 上亡辨-重鈕"
𠒂,5612995,"見模一開 上公戸"
兒,5612999,"日支三開 平汝移"
兓,5613002,"精侵三開 平子心"
兔,5613005,"透模一開 去湯故"
兕,5613008,"邪脂三開 上徐姊-重鈕"
兖,5613012,"以仙三合 上以轉"
𠒃,5613015,"邪脂三開 上徐姊-重鈕"
𠒅,5613018,"邪脂三開 上徐姊-重鈕"
𠒆,5613021,"日支三開 平汝移"
𠒜,5613024,"疑元三合 上虞遠"
兟,5613027,"生臻三開 平所臻"
兠,5613030,"端侯一開 平當侯"
𠒢,5613033,"疑桓一合 平五丸"
兢,5613036,"見蒸三開 平居陵"
𠓋,5613039,"以清三開 入羊益"
𠓗,5613042,"滂虞三合 去芳遇"
入,5613045,"日侵三開 入人執"
全,5613048,"從仙三合 平疾緣"
